Patch Name,Module,Directory,Filename,Change Type,New Version,Old Version,File Type,FLAGGED_FILE 
31088182,FND,patch/115/sql,AFSCOLWB.pls,upgrade,120.56.12020000.4,120.56.12020000.3,pls,
31088182,AD,patch/115/manualsteps,ad_apply_patch.xml,new,120.4.12020000.4,,xml,
31088182,FND,patch/115/manualsteps,fnd_oneoff_disclaimer_info.xml,new,120.0.12020000.1,,xml,
31349591,OTA,java/common/server,ImagesListVO.xml,new,120.0.12020000.1,,xml,
31349591,OTA,java/common/server,ImagesListVOImpl.class,new,120.0.12020000.1,,class,
31349591,OTA,java/common/server,ImagesListVORowImpl.class,new,120.0.12020000.1,,class,
31349591,OTA,java/schema/server,LobEO.xml,upgrade,120.0.12020000.2,120.0.12020000.1,xml,
31349591,OTA,java/schema/server,LobEOImpl.class,upgrade,120.0.12020000.2,120.0.12020000.1,class,
31349591,OTA,java/common/server,LobsVO.xml,upgrade,120.0.12020000.3,120.0.12020000.2,xml,
31349591,OTA,java/common/server,LobsVOImpl.class,upgrade,120.0.12020000.2,120.0.12020000.1,class,
31349591,OTA,java/common/webui,OtaResizeCatalogImgCP.class,new,120.0.12020000.2,,class,
31349591,OTA,java/common/server,OtaResizeImageAM.xml,new,120.0.12020000.1,,xml,
31349591,OTA,java/common/server,OtaResizeImageAMImpl.class,new,120.0.12020000.1,,class,
31349591,AD,patch/115/manualsteps,ad_apply_patch.xml,new,120.4.12020000.4,,xml,
31349591,OTA,patch/115/import/US,otazzcncprg00051.ldt,upgrade,120.0.12020000.3,120.0.12020000.2,ldt,
31800803,FND,perl/TXK,TechstackDB.pm,upgrade,120.21.12020000.8,120.21.12020000.7,pm,
31800803,AD,patch/115/manualsteps,ad_apply_patch.xml,new,120.4.12020000.4,,xml,
31800803,AD,admin/template/install/template/db,adcdblnctl_nt.tmp,upgrade,120.0.12020000.5,120.0.12020000.4,tmp,
31800803,AD,admin/template/install/template/db,adcdblnctl_sh.tmp,upgrade,120.0.12020000.4,120.0.12020000.3,tmp,
31800803,AD,admin/template/install/template/db,adsvcdlsn.cmd,upgrade,120.0.12020000.4,120.0.12020000.1,cmd,
31800803,FND,patch/115/bin,txkCfgCDB.pl,upgrade,120.0.12020000.17,120.0.12020000.16,pl,
31800803,FND,patch/115/bin,txkCfgPDBRACNode.pl,upgrade,120.0.12020000.34,120.0.12020000.33,pl,
31800803,FND,patch/115/bin,txkCfgUtlfileDir.pl,upgrade,120.0.12020000.15,120.0.12020000.11,pl,
31800803,FND,patch/115/bin,txkChkPDBCompatability.pl,upgrade,120.0.12020000.11,120.0.12020000.10,pl,
31800803,FND,patch/115/bin,txkCreatePDB.pl,upgrade,120.0.12020000.35,120.0.12020000.32,pl,
31800803,FND,patch/115/bin,txkGenDBInitParam.pl,new,120.0.12020000.3,,pl,
31800803,FND,patch/115/bin,txkOnPremPrePDBCreationTasks.pl,upgrade,120.0.12020000.15,120.0.12020000.13,pl,
31800803,FND,patch/115/bin,txkPostPDBCreationTasks.pl,upgrade,120.0.12020000.52,120.0.12020000.50,pl,
31800803,FND,patch/115/bin,txkPrePDBCreationTasks.pl,upgrade,120.0.12020000.15,120.0.12020000.14,pl,
31800803,FND,patch/115/bin,txkSavePDBState.pl,upgrade,120.0.12020000.4,120.0.12020000.3,pl,
31800803,FND,patch/115/bin,txkSetScanName.pl,upgrade,120.0.12020000.3,120.0.12020000.2,pl,
31800803,FND,patch/115/bin,txkSetUnicodeCharSet.pl,upgrade,120.0.12020000.6,120.0.12020000.5,pl,
31800803,AD,patch/115/manualsteps,txk_patch_autoconfig_on_db.xml,new,120.0.12020000.1,,xml,
31800803,AD,patch/115/manualsteps,txk_postpatch_patch30417863.xml,new,120.0.12020000.2,,xml,
31800803,AD,patch/115/manualsteps,txk_postpatch_patch30601878.xml,new,120.1.12020000.2,,xml,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
